2026-03-28 01:08:48,508 [INFO] Iniciando vigilante en: C:\Facturas
2026-03-28 01:08:48,508 [INFO] Endpoint: https://vcgkycpkbovwskugcnll.supabase.co/functions/v1/stock-deduct
2026-03-28 01:08:48,508 [INFO] Ubicación de venta: sucursal_1
2026-03-28 01:09:06,577 [INFO] ──────────────────────────────────────────────────
2026-03-28 01:09:06,578 [INFO] Nuevo PDF detectado: test_run_1774670944.pdf
2026-03-28 01:09:06,707 [INFO]   Detectado → código=06010741  desc=ZEOFLEX MAS.P/PLAST.0.7KG.  cantidad=1
2026-03-28 01:09:10,398 [ERROR] [test_run_1774670944.pdf] HTTP 404 para {'codigo': '06010741', 'descripcion': 'ZEOFLEX MAS.P/PLAST.0.7KG.', 'cantidad': 1}: sin respuesta
2026-03-28 01:14:23,984 [INFO] Iniciando vigilante en: C:\Facturas
2026-03-28 01:14:23,985 [INFO] Endpoint: https://vcgkycpkbovwskugcnll.supabase.co/functions/v1/stock-deduct
2026-03-28 01:14:23,985 [INFO] Ubicación de venta: sucursal_1
2026-03-28 01:14:23,988 [INFO] ──────────────────────────────────────────────────
2026-03-28 01:16:52,835 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:52,836 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:16:57,842 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:16:57,849 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:16:57,861 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:16:57,876 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:02,883 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:02,884 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:02,885 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:02,885 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:07,887 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:07,889 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:07,891 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:07,894 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:12,896 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:12,897 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:12,898 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:12,898 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:17,901 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:17,903 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:17,903 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:17,904 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:22,906 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:22,907 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:22,908 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:22,909 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:27,912 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:27,914 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:27,923 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:27,926 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:32,929 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:32,931 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:32,932 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:32,934 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:37,938 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:37,940 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:37,943 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:37,952 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:42,987 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:43,041 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:43,057 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:43,097 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:48,106 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:48,109 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:48,116 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:48,119 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:53,122 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:53,123 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:53,124 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:53,125 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:17:58,131 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:17:58,135 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:17:58,138 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:17:58,149 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:03,156 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:03,164 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:03,167 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:03,180 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:08,183 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:08,186 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:08,188 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:08,197 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:13,202 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:13,203 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:13,205 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:13,212 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:18,214 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:18,215 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:18,216 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:18,216 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:23,218 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:23,219 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:23,222 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:23,223 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:28,226 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:28,227 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:28,228 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:28,229 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:33,230 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:33,231 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:33,232 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:33,233 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:38,240 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:38,245 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:38,247 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:38,257 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
2026-03-28 01:18:43,263 [INFO] Archivo ya procesado, ignorando: 04000FCB000070000884920260327.pdf
2026-03-28 01:18:43,271 [INFO] Archivo ya procesado, ignorando: test_1774670778.pdf
2026-03-28 01:18:43,276 [INFO] Archivo ya procesado, ignorando: test_descuento_1774671301.pdf
2026-03-28 01:18:43,281 [INFO] Archivo ya procesado, ignorando: test_run_1774670944.pdf
